Date,Open,High,Low,Close,Adj Close,Volume
2020-04-30,75.680000,76.300003,74.790001,76.050003,68.548927,8778000
2020-05-01,74.410004,74.419998,72.779999,73.470001,66.223389,5740600
2020-05-04,72.660004,73.339996,71.589996,73.250000,66.025093,4894100
2020-05-05,73.870003,74.760002,73.550003,73.599998,66.340576,7107700
2020-05-06,74.050003,74.279999,72.330002,72.379997,65.240921,5740800
2020-05-07,73.029999,74.389999,72.930000,73.339996,66.106209,6427100
2020-05-08,74.519997,75.279999,74.120003,75.089996,67.683601,7870600
2020-05-11,74.190002,75.190002,73.650002,74.029999,66.728165,5544300
2020-05-12,74.300003,74.379997,70.550003,70.629997,63.663517,10986600
2020-05-13,70.160004,70.470001,68.570000,68.959999,62.158230,13770700
2020-05-14,67.959999,69.320000,66.440002,69.279999,62.446674,9536900
2020-05-15,68.809998,69.070000,67.830002,68.959999,62.158230,9552500
2020-05-18,71.370003,73.580002,71.330002,72.980003,65.781731,11786200
2020-05-19,72.720001,73.180000,72.139999,72.160004,65.042618,4982900
2020-05-20,73.029999,73.110001,72.290001,72.860001,65.673553,4393100
2020-05-21,72.500000,73.250000,72.019997,72.760002,65.583412,4139400
2020-05-22,72.650002,73.809998,72.459999,73.750000,66.475784,4405800
2020-05-26,75.940002,76.889999,75.720001,76.440002,68.900459,7415800
2020-05-27,78.180000,78.339996,76.040001,77.910004,70.225471,8143900
2020-05-28,78.830002,78.870003,77.599998,78.230003,70.513908,6195400
2020-05-29,77.680000,78.199997,76.949997,77.419998,69.783791,10074000
2020-06-01,77.360001,79.769997,77.199997,79.209999,71.397240,6401800
2020-06-02,79.849998,80.120003,79.070000,79.919998,72.037201,6300800
2020-06-03,80.730003,82.680000,80.599998,82.320000,74.200478,9371500
2020-06-04,82.000000,82.029999,80.849998,81.620003,73.569527,6583900
2020-06-05,84.330002,86.110001,84.230003,84.589996,76.246590,10281900
2020-06-08,85.680000,86.860001,85.660004,86.820000,78.256638,6919300
2020-06-09,85.339996,85.919998,84.309998,85.419998,76.994720,10855200
2020-06-10,84.980003,85.410004,82.580002,83.239998,75.029739,9362100
2020-06-11,79.580002,80.739998,77.809998,77.980003,70.288551,9634500
2020-06-12,80.629997,81.019997,78.529999,80.769997,72.803345,12788900
2020-06-15,77.849998,81.610001,77.480003,81.160004,73.640854,8011900
2020-06-16,84.070000,84.220001,81.410004,82.760002,75.092628,7372800
2020-06-17,83.209999,83.290001,81.580002,81.639999,74.076378,4686800
2020-06-18,80.910004,81.199997,80.330002,80.769997,73.286972,5687200
2020-06-19,81.970001,81.980003,79.239998,79.750000,72.361488,9850800
2020-06-22,79.459999,79.760002,78.260002,79.599998,72.225388,5325400
2020-06-23,80.389999,80.519997,79.110001,79.360001,72.007622,4775900
2020-06-24,78.339996,78.580002,75.339996,77.089996,69.947922,7585000
2020-06-25,76.489998,78.080002,76.400002,78.040001,70.809914,4919500
2020-06-26,77.739998,78.110001,76.440002,76.489998,69.403519,6942000
2020-06-29,77.349998,77.989998,76.169998,77.919998,70.701035,6311100
2020-06-30,78.010002,79.239998,77.699997,78.809998,71.508575,5965600
2020-07-01,79.019997,80.919998,78.910004,80.580002,73.114601,6281500
2020-07-02,81.959999,82.129997,80.019997,80.330002,72.887756,4294100
2020-07-06,82.010002,82.010002,80.230003,80.339996,72.896812,5060000
2020-07-07,79.529999,79.940002,78.730003,78.809998,71.508575,3941100
2020-07-08,79.000000,79.250000,78.019997,78.730003,71.435989,3753800
2020-07-09,78.610001,78.650002,77.059998,78.290001,71.036758,3988600
2020-07-10,78.199997,78.870003,77.940002,78.510002,71.236374,3588700
2020-07-13,78.930000,79.150002,77.290001,77.540001,70.356239,5494600
2020-07-14,77.360001,78.339996,77.230003,78.129997,70.891563,4973400
2020-07-15,79.440002,79.699997,78.389999,78.940002,71.626541,4716300
2020-07-16,78.559998,78.820000,77.820000,78.080002,70.846207,4039300
2020-07-17,78.430000,79.410004,77.930000,79.059998,71.735405,3474300
2020-07-20,78.940002,79.389999,77.849998,78.120003,70.882500,3111900
2020-07-21,78.699997,79.129997,78.129997,78.320000,71.063988,3804000
2020-07-22,78.010002,79.550003,77.820000,79.519997,72.152794,3350000
2020-07-23,79.279999,79.809998,78.199997,79.110001,71.780777,3681000
2020-07-24,78.980003,79.349998,78.459999,78.510002,71.236374,3584300
2020-07-27,78.529999,79.440002,77.639999,79.419998,72.062050,2592400
2020-07-28,79.300003,81.290001,79.160004,80.839996,73.350510,4053500
2020-07-29,81.430000,82.709999,81.410004,82.650002,74.992828,5100100
2020-07-30,81.620003,82.239998,81.129997,82.230003,74.611717,5807600
2020-07-31,82.150002,82.199997,80.820000,82.059998,74.457466,6989600
2020-08-03,82.160004,82.180000,80.650002,80.989998,73.486610,3616900
2020-08-04,80.800003,82.279999,80.790001,82.010002,74.412102,3995000
2020-08-05,82.239998,82.650002,81.309998,81.699997,74.130829,4036100
2020-08-06,81.459999,81.989998,81.220001,81.709999,74.139908,3137900
2020-08-07,81.459999,82.860001,81.330002,82.820000,75.147072,3941300
2020-08-10,83.000000,83.500000,82.599998,83.019997,75.328529,4031300
2020-08-11,83.949997,83.949997,81.540001,81.820000,74.239716,4076400
2020-08-12,82.349998,82.760002,82.110001,82.610001,74.956535,2989300
2020-08-13,82.559998,83.059998,81.470001,81.669998,74.103622,4181800
2020-08-14,81.470001,82.430000,81.389999,81.680000,74.112679,2213900
2020-08-17,81.839996,82.330002,81.389999,82.320000,74.693382,3122400
2020-08-18,82.349998,82.419998,81.440002,81.930000,74.339523,3523100
2020-08-19,82.010002,82.089996,80.339996,80.459999,73.005699,4337000
2020-08-20,80.080002,81.699997,79.849998,81.190002,73.668083,3036300
2020-08-21,81.089996,81.680000,80.419998,81.309998,73.776955,2933300
2020-08-24,81.470001,81.989998,80.449997,81.949997,74.357681,3110600
2020-08-25,82.139999,82.339996,81.349998,82.150002,74.539154,3043100
2020-08-26,82.000000,82.059998,80.879997,81.379997,73.840477,4668400
2020-08-27,81.489998,82.790001,81.489998,82.540001,74.893013,4541700
2020-08-28,82.769997,83.089996,81.900002,83.050003,75.355759,3770000
2020-08-31,82.970001,83.010002,81.959999,82.250000,74.629883,3392800
2020-09-01,81.989998,82.410004,81.400002,82.339996,74.711517,3026500
2020-09-02,82.360001,83.970001,81.769997,83.839996,76.072563,5049500
2020-09-03,83.879997,84.529999,82.180000,82.800003,75.128914,5707500
2020-09-04,83.000000,83.580002,81.019997,82.419998,74.784119,7279500
2020-09-08,82.070000,82.070000,80.790001,81.389999,73.849548,5431300
2020-09-09,81.730003,83.139999,81.629997,82.129997,74.520981,4645000
2020-09-10,82.019997,82.309998,80.989998,81.029999,73.522888,4574500
2020-09-11,81.239998,81.489998,79.910004,80.580002,73.114601,4298300
2020-09-14,81.169998,82.940002,80.949997,82.739998,75.074478,4373400
2020-09-15,83.040001,84.449997,82.980003,83.699997,75.945541,4166400
2020-09-16,84.199997,84.970001,83.750000,84.150002,76.353851,3958900
2020-09-17,83.360001,83.919998,82.059998,82.570000,74.920242,4258900
2020-09-18,82.599998,82.599998,80.639999,80.790001,73.305138,6820100
2020-09-21,79.540001,79.809998,78.089996,78.540001,71.263596,5721100
2020-09-22,78.680000,80.070000,78.480003,79.459999,72.098366,4788600
2020-09-23,79.019997,79.019997,76.620003,76.709999,70.025261,4149800
2020-09-24,76.709999,78.120003,76.360001,77.050003,70.335632,7611800
2020-09-25,76.790001,78.720001,76.639999,78.610001,71.759689,3292100
2020-09-28,79.750000,80.510002,79.510002,80.180000,73.192863,3960900
2020-09-29,80.120003,80.209999,79.000000,79.580002,72.645172,4520900
2020-09-30,80.000000,80.690002,79.040001,79.839996,72.882507,4276500
2020-10-01,80.120003,81.449997,79.809998,81.379997,74.288300,18707600
2020-10-02,80.260002,82.940002,79.900002,82.680000,75.475029,18898100
2020-10-05,82.900002,83.419998,81.639999,83.139999,75.894928,12648700
2020-10-06,83.330002,83.769997,82.290001,82.620003,75.420250,20491400
2020-10-07,83.120003,83.160004,82.330002,82.709999,75.502403,3424200
2020-10-08,83.169998,84.320000,82.970001,84.010002,76.689117,4177600
2020-10-09,84.330002,84.570000,83.400002,83.650002,76.360497,10875100
2020-10-12,83.760002,84.320000,83.300003,84.150002,76.816925,5738400
2020-10-13,84.040001,84.040001,82.320000,82.800003,75.584557,4940500
2020-10-14,82.699997,82.930000,81.709999,81.830002,74.699081,5918500
2020-10-15,81.029999,82.820000,81.029999,82.169998,75.009453,4817100
2020-10-16,82.190002,82.309998,81.529999,81.660004,74.543900,4338800
2020-10-19,81.849998,82.070000,80.220001,80.339996,73.338921,4996400
2020-10-20,80.910004,81.489998,80.690002,80.940002,73.886642,7054500
2020-10-21,80.639999,81.040001,80.330002,80.620003,73.594505,4019900
2020-10-22,80.570000,80.879997,80.239998,80.519997,73.503250,3928800
2020-10-23,80.769997,81.309998,80.389999,81.010002,73.950539,2641500
2020-10-26,80.320000,80.410004,79.239998,79.980003,73.010307,3991400
2020-10-27,80.080002,80.489998,78.779999,78.800003,71.933151,3414500
2020-10-28,77.459999,78.269997,76.610001,76.870003,70.171310,6085000
2020-10-29,76.970001,78.589996,76.330002,78.040001,71.239349,5759000
2020-10-30,77.550003,78.099998,76.620003,77.510002,70.755531,6507300
2020-11-02,78.360001,79.480003,77.879997,79.459999,72.535622,6576200
2020-11-03,80.080002,81.349998,79.889999,80.989998,73.932281,7949700
2020-11-04,81.389999,82.440002,80.599998,81.160004,74.087463,6721800
2020-11-05,81.800003,82.209999,81.110001,81.419998,74.324806,5409000
2020-11-06,81.459999,82.070000,80.650002,80.959999,73.904907,6837600
2020-11-09,85.000000,88.760002,83.099998,83.300003,76.040993,17599700
2020-11-10,83.300003,84.489998,82.959999,84.230003,76.889938,9468700
2020-11-11,84.849998,85.180000,83.980003,84.769997,77.382881,5307900
2020-11-12,84.339996,84.790001,83.220001,83.750000,76.451775,3756800
2020-11-13,84.129997,86.080002,84.129997,85.940002,78.450935,4854100
2020-11-16,87.400002,87.809998,85.720001,86.639999,79.089935,7907600
2020-11-17,85.989998,87.040001,85.540001,86.709999,79.153809,5134800
2020-11-18,86.949997,87.370003,85.019997,85.150002,77.729759,7843200
2020-11-19,85.050003,85.379997,84.029999,85.320000,77.884949,4440100
2020-11-20,85.279999,85.440002,84.470001,84.919998,77.519814,3544800
2020-11-23,85.360001,85.730003,84.690002,84.849998,77.455917,4796400
2020-11-24,85.870003,86.269997,84.980003,85.089996,77.674995,4574200
2020-11-25,85.239998,85.320000,84.430000,85.160004,77.738892,3380500
2020-11-27,85.360001,85.430000,84.529999,84.900002,77.501549,1658900
2020-11-30,84.750000,84.820000,83.760002,84.160004,76.826050,4633900
2020-12-01,85.180000,85.489998,84.779999,85.120003,77.702393,4831100
2020-12-02,84.879997,85.430000,84.230003,84.360001,77.008614,4372300
2020-12-03,84.430000,85.389999,84.290001,84.989998,77.583717,4539200
2020-12-04,85.400002,86.260002,85.349998,86.239998,78.724785,3714600
2020-12-07,85.949997,86.330002,85.239998,85.570000,78.113167,8254400
2020-12-08,85.169998,85.669998,85.059998,85.150002,77.729759,4100000
2020-12-09,85.239998,85.370003,83.959999,84.500000,77.136414,7956700
2020-12-10,84.139999,84.680000,83.730003,84.010002,76.689117,2823000
2020-12-11,83.639999,84.150002,83.220001,84.050003,76.725632,2862700
2020-12-14,84.070000,84.699997,82.989998,83.059998,76.367981,3817000
2020-12-15,83.400002,84.680000,82.889999,84.660004,77.839050,3719700
2020-12-16,84.889999,85.330002,84.330002,84.790001,77.958588,3965600
2020-12-17,85.250000,85.690002,84.849998,85.620003,78.721718,3547200
2020-12-18,85.680000,85.820000,83.540001,84.080002,77.305779,4291000
2020-12-21,82.919998,83.680000,82.570000,83.540001,76.809280,4952200
2020-12-22,83.709999,84.269997,83.320000,84.199997,77.416138,3383200
2020-12-23,84.559998,85.010002,83.550003,83.629997,76.892044,4579400
2020-12-24,83.930000,84.320000,83.680000,84.290001,77.498871,981700
2020-12-28,84.660004,85.230003,84.260002,85.059998,78.206833,6311700
2020-12-29,85.449997,85.750000,84.190002,84.370003,77.572433,3138900
2020-12-30,84.290001,85.320000,84.290001,84.750000,77.921806,4933800
2020-12-31,84.739998,85.879997,84.080002,85.650002,78.749290,4171500
2021-01-04,85.860001,85.989998,82.709999,82.739998,76.073761,14744100
2021-01-05,82.720001,83.489998,82.639999,82.730003,76.064560,13595100
2021-01-06,82.660004,83.260002,82.150002,82.690002,76.027786,18629400
2021-01-07,82.699997,83.000000,82.190002,82.680000,76.018593,10663300
2021-01-08,82.849998,83.739998,82.809998,83.480003,76.754128,4345200
2021-01-11,83.080002,83.379997,82.070000,82.300003,75.669220,3548500
2021-01-12,82.129997,82.430000,81.459999,82.269997,75.641624,5314900
2021-01-13,82.190002,83.430000,82.190002,83.279999,76.570236,8842500
2021-01-14,83.500000,84.169998,83.139999,83.639999,76.901245,4538600
2021-01-15,83.540001,84.889999,83.260002,84.589996,77.774689,6775200
2021-01-19,85.150002,85.150002,84.040001,84.360001,77.563232,3413600
2021-01-20,84.389999,86.379997,84.139999,86.059998,79.126259,6889500
2021-01-21,85.730003,85.930000,85.010002,85.800003,78.887222,4779600
2021-01-22,85.470001,86.160004,85.220001,85.970001,79.043518,6286300
2021-01-25,86.010002,87.209999,85.540001,86.610001,79.631943,5140000
2021-01-26,86.760002,87.500000,86.620003,87.239998,80.211182,3790600
2021-01-27,86.690002,87.309998,85.320000,85.790001,78.878014,5641100
2021-01-28,85.699997,87.139999,85.379997,86.160004,79.218216,5032200
2021-01-29,85.860001,86.559998,84.820000,85.279999,78.409119,5572600
2021-02-01,85.790001,87.400002,84.870003,87.339996,80.303146,13611800
2021-02-02,87.870003,88.110001,87.129997,87.809998,80.735260,12298500
2021-02-03,87.510002,87.739998,86.370003,87.570000,80.514603,11551100
2021-02-04,87.599998,88.570000,87.379997,88.070000,80.974319,11375300
2021-02-05,88.230003,88.510002,87.949997,88.239998,81.130638,5332900
2021-02-08,88.239998,88.500000,87.800003,88.480003,81.351295,5033800
2021-02-09,88.550003,89.010002,88.300003,88.870003,81.709869,3279900
2021-02-10,89.339996,89.989998,88.949997,89.440002,82.233963,5026400
2021-02-11,89.480003,89.889999,88.989998,89.419998,82.215561,3177900
2021-02-12,89.400002,89.580002,88.760002,89.540001,82.325890,2701900
2021-02-16,89.589996,89.620003,88.150002,88.660004,81.516785,3652000
2021-02-17,88.459999,88.709999,88.050003,88.540001,81.406464,6557400
2021-02-18,88.160004,88.550003,88.059998,88.300003,81.185791,6013800
2021-02-19,88.739998,89.250000,88.300003,88.709999,81.562759,3839200
2021-02-22,88.419998,89.559998,88.150002,89.239998,82.050056,5062000
2021-02-23,89.529999,89.949997,89.169998,89.739998,82.509773,5684500
2021-02-24,89.639999,90.480003,89.330002,90.220001,82.951096,6117200
2021-02-25,90.150002,90.849998,88.139999,88.699997,81.553551,9618100
2021-02-26,88.930000,89.040001,87.290001,87.349998,80.312332,9978600
2021-03-01,88.260002,89.080002,87.500000,87.570000,80.514603,12062500
2021-03-02,87.559998,87.559998,86.300003,86.860001,79.861809,14819900
2021-03-03,86.760002,87.010002,85.980003,86.099998,79.163048,15991200
2021-03-04,86.360001,86.919998,84.389999,85.250000,78.381531,18710500
2021-03-05,86.050003,86.690002,84.050003,86.330002,79.374512,7882500
2021-03-08,86.620003,87.900002,86.089996,87.040001,80.027313,8494900
2021-03-09,87.489998,88.309998,87.410004,87.589996,80.532990,4385100
2021-03-10,87.779999,88.870003,87.529999,88.430000,81.305321,5016100
2021-03-11,88.570000,89.919998,88.400002,89.379997,82.178764,4329100
2021-03-12,89.250000,90.870003,89.250000,90.870003,83.548729,5521800
2021-03-15,90.900002,92.349998,90.570000,92.120003,84.698021,5335500
2021-03-16,92.110001,92.470001,91.459999,91.919998,84.514122,4162000
2021-03-17,91.750000,91.959999,90.930000,91.959999,84.550911,5849400
2021-03-18,91.370003,91.570000,90.669998,91.150002,83.806168,7539500
2021-03-19,90.970001,91.510002,89.910004,90.040001,82.785606,9974900
2021-03-22,89.849998,91.019997,89.690002,90.839996,83.521141,3748200
2021-03-23,90.849998,91.559998,90.449997,90.849998,83.530342,3981800
2021-03-24,90.720001,91.540001,90.379997,90.430000,83.144165,4046300
2021-03-25,89.839996,90.930000,88.879997,90.730003,83.831612,4701600
2021-03-26,91.120003,92.790001,91.000000,92.739998,85.688774,5190300
2021-03-29,92.449997,92.830002,91.459999,92.389999,85.365395,5668600
2021-03-30,92.220001,92.580002,91.970001,92.320000,85.300720,7171800
2021-03-31,92.220001,92.889999,91.480003,91.940002,84.949615,8863600
2021-04-01,92.449997,93.620003,92.010002,93.580002,86.464912,15804700
2021-04-05,94.139999,94.139999,93.010002,93.949997,86.806786,18032000
2021-04-06,94.000000,94.199997,93.480003,94.199997,87.037773,15602600
2021-04-07,94.360001,94.449997,93.440002,94.199997,87.037773,14850600
2021-04-08,94.269997,94.669998,93.839996,93.970001,86.825264,5862600
2021-04-09,94.129997,94.129997,93.629997,93.959999,86.816040,5877900
2021-04-12,94.110001,94.480003,93.379997,94.470001,87.287254,4359100
2021-04-13,94.430000,95.139999,94.260002,95.040001,87.813927,7435300
2021-04-14,95.089996,95.489998,94.360001,94.459999,87.278015,7114900
2021-04-15,95.059998,96.129997,94.870003,96.129997,88.821022,9781300
2021-04-16,96.400002,96.610001,95.989998,96.320000,88.996590,4035100
2021-04-19,96.379997,96.580002,95.849998,96.550003,89.209106,4047600
2021-04-20,96.330002,97.699997,96.330002,97.559998,90.142303,5150300
2021-04-21,97.669998,98.199997,97.320000,98.010002,90.558105,4585600
2021-04-22,97.949997,98.410004,97.360001,97.610001,90.188515,6062500
2021-04-23,97.809998,98.339996,97.510002,98.199997,90.733643,5015400
2021-04-26,98.680000,98.870003,98.099998,98.360001,90.881485,4457100
2021-04-27,98.680000,98.680000,98.089996,98.389999,90.909203,3843900
2021-04-28,98.440002,98.570000,97.800003,97.980003,90.530388,5307300
2021-04-29,98.559998,99.080002,98.080002,98.779999,91.269562,4774900
2021-04-30,98.489998,99.370003,98.269997,99.190002,91.648392,4994700
2021-05-03,99.610001,99.620003,98.669998,99.029999,91.500542,15941100
2021-05-04,98.750000,99.239998,97.769997,98.129997,90.668968,15545400
2021-05-05,98.099998,98.099998,96.379997,96.709999,89.356934,17545900
2021-05-06,96.779999,97.360001,96.440002,97.230003,89.837410,16013800
2021-05-07,97.540001,98.589996,97.250000,98.589996,91.093994,6441200
2021-05-10,98.800003,99.750000,98.629997,98.629997,91.130966,7486800
2021-05-11,97.900002,97.900002,96.720001,97.510002,90.096115,8099300
2021-05-12,97.309998,97.440002,95.010002,95.099998,87.869354,9227200
2021-05-13,95.279999,96.879997,95.279999,96.260002,88.941147,10680600
2021-05-14,96.779999,97.620003,96.570000,97.330002,89.929787,5704900
2021-05-17,97.540001,97.610001,96.930000,97.419998,90.012955,4665200
2021-05-18,97.370003,98.099998,96.809998,97.550003,90.133087,3801600
2021-05-19,96.769997,97.279999,95.889999,97.279999,89.883606,8013300
2021-05-20,97.300003,98.730003,97.050003,98.480003,90.992363,6117200
2021-05-21,98.610001,98.860001,98.080002,98.309998,90.835281,6711200
2021-05-24,98.800003,99.820000,98.669998,99.419998,91.860886,4352500
2021-05-25,99.550003,99.889999,99.010002,99.510002,91.944054,8828700
2021-05-26,99.709999,100.339996,99.459999,99.839996,92.248947,6120900
2021-05-27,100.050003,100.089996,99.349998,99.500000,91.934799,7308900
2021-05-28,100.029999,100.470001,99.779999,100.190002,92.572342,7383300
2021-06-01,100.629997,101.849998,100.279999,101.769997,94.032211,12740100
2021-06-02,102.220001,103.089996,101.790001,102.989998,95.159462,15539800
2021-06-03,102.949997,102.949997,102.180000,102.790001,94.974663,14727100
2021-06-04,103.120003,103.209999,102.279999,102.800003,94.983917,13005500
2021-06-07,102.900002,104.099998,102.900002,103.809998,95.917122,6510100
2021-06-08,103.860001,104.669998,103.860001,104.480003,96.536179,6112100
2021-06-09,104.790001,105.010002,104.510002,104.709999,96.748680,5928800
2021-06-10,104.150002,105.220001,103.860001,104.970001,97.476707,5998100
2021-06-11,104.949997,104.970001,103.970001,104.449997,96.993843,7348300
2021-06-14,104.389999,104.919998,104.260002,104.910004,97.420998,5301700
2021-06-15,104.910004,104.910004,103.750000,103.809998,96.399521,7924200
2021-06-16,104.040001,104.419998,102.839996,102.879997,95.535904,8696000
2021-06-17,102.720001,103.190002,102.339996,103.040001,95.684494,9029000
2021-06-18,102.760002,102.980003,101.379997,101.410004,94.170860,7828200
2021-06-21,101.699997,103.730003,101.459999,103.470001,96.083786,6758900
2021-06-22,103.510002,103.540001,102.930000,102.970001,95.619484,6023100
2021-06-23,102.919998,103.250000,102.639999,102.699997,95.368759,6447800
2021-06-24,103.000000,103.029999,101.949997,102.360001,95.053032,4016200
2021-06-25,102.449997,103.230003,102.290001,103.230003,95.860939,6519600
2021-06-28,103.440002,103.470001,102.080002,102.820000,95.480194,4205000
2021-06-29,102.889999,103.400002,102.489998,102.519997,95.201614,4639000
2021-06-30,102.570000,103.110001,101.820000,101.940002,94.663010,7737400
